PointSliceID,Room,RoomType,ObjecName,BLG,Floor,ReadingType,Alias
8555,102,Project Room,WATT-CENTER/FC-1.UF1-7.ZN-T,Watt,1st Floor,Temp,102 Temp
8726,103,Kitchen,WATT-CENTER/FC-1.UF1-6.ZN-T,Watt,1st Floor,Temp,103 Temp
8742,104,Bathroom,WATT-CENTER/FC-1.RADIANT-1.ZN-T,Watt,1st Floor,Temp,104 Temp
8208,106,Classroom,WATT-CENTER/FC-1.UF1-11 ZN-T,Watt,1st Floor,Temp,106 Temp
8747,108,Classroom,WATT-CENTER/FC-1.UF1-12-1.ZN-T,Watt,1st Floor,Temp,108 Temp
8309,110,Project Room,WATT-CENTER/FC-1.UF1-17.ZN-T,Watt,1st Floor,Temp,110 Temp
8808,112,Project Room,WATT-CENTER/FC-1.UF1-15.ZN-T,Watt,1st Floor,Temp,112 Temp
8698,113,Office,WATT-CENTER/FC-1.UF1-14.ZN-T,Watt,1st Floor,Temp,113 Temp
8867,201,Office,WATT-CENTER/FC-2.012014FE.ZN-T,Watt,2nd Floor,Temp,201 Temp
8215,203,Classroom,WATT-CENTER/FC-2.UF2-6.ZN-T,Watt,2nd Floor,Temp,203 Temp
9146,204,Bathroom,WATT-CENTER/FC-2.RADIANT-2.ZN-T,Watt,2nd Floor,Temp,204 Temp
8857,205,Project Room,WATT-CENTER/FC-2.UF2-5.ZN-T,Watt,2nd Floor,Temp,205 Temp
8619,206,Dataroom,WATT-CENTER/FC-2.FCU-7.ZN-T,Watt,2nd Floor,Temp,206 Temp
8436,L110U,Mechanical Room,WATT-CENTER/FC-1.AHU-3.EFFCLG-SP,Watt,Basement,Cooling SP,Air Handler 3 Cooling SP
8460,L110U,Mechanical Room,WATT-CENTER/FC-1.AHU-3.EFFHTG-SP,Watt,Basement,Heating SP,Air Handler 3 Heating SP
8851,207,Project Room,WATT-CENTER/FC-2.UF2-4.ZN-T,Watt,2nd Floor,Temp,207 Temp
8628,208,Classroom,WATT-CENTER/FC-2.012017FE.ZN-T,Watt,2nd Floor,Temp,208 Temp
8845,209,Project Room,WATT-CENTER/FC-2.UF2-3.ZN-T,Watt,2nd Floor,Temp,209 Temp
8499,L101B,Mechanical Room,WATT-CENTER/FC-1.FCU-10.EFFCLG-SP,Watt,Basement,Cooling SP,L101B Cooling SP
8461,L102,Classroom,WATT-CENTER/FC-1.FCU-12.EFFCLG-SP,Watt,Basement,Cooling SP,L102 Cooling SP
8411,L102,Classroom,WATT-CENTER/FC-1.FCU-12.EFFHTG-SP,Watt,Basement,Heating SP,L102 Heating SP
8328,116U2,Dataroom,WATT-CENTER/FC-1.FCU-5.EFFCLG-SP,Watt,1st Floor,Cooling SP,116U2 Cooling SP
8452,116U2,Dataroom,WATT-CENTER/FC-1.FCU-5.EFFHTG-SP,Watt,1st Floor,Heating SP,116U2 Heating SP
8584,104,Bathroom,WATT-CENTER/FC-1.RADIANT-1.EFFCLG-SP,Watt,1st Floor,Cooling SP,104 Cooling SP
8625,104,Bathroom,WATT-CENTER/FC-1.RADIANT-1.EFFHTG-SP,Watt,1st Floor,Heating SP,104 Heating SP
8545,100V3,Vestibule,WATT-CENTER/FC-1.UF1-1.EFFCLG-SP,Watt,1st Floor,Cooling SP,100V3 Cooling SP
8733,100V3,Vestibule,WATT-CENTER/FC-1.UF1-1.EFFHTG-SP,Watt,1st Floor,Heating SP,100V3 Heating SP
8839,211,Project Room,WATT-CENTER/FC-2.UF2-2.ZN-T,Watt,2nd Floor,Temp,211 Temp
8672,106,Classroom,WATT-CENTER/FC-1.UF1-11.EFFCLG-SP,Watt,1st Floor,Cooling SP,106 Cooling SP
8562,106,Classroom,WATT-CENTER/FC-1.UF1-11.EFFHTG-SP,Watt,1st Floor,Heating SP,106 Heating SP
8553,108,Classroom,WATT-CENTER/FC-1.UF1-12-1.EFFCLG-SP,Watt,1st Floor,Cooling SP,108 Cooling SP
8667,108,Classroom,WATT-CENTER/FC-1.UF1-12-1.EFFHTG-SP,Watt,1st Floor,Heating SP,108 Heating SP
8730,100E,Corridor,WATT-CENTER/FC-1.UF1-13.EFFCLG-SP,Watt,1st Floor,Cooling SP,100E Cooling SP
8541,100E,Corridor,WATT-CENTER/FC-1.UF1-13.EFFHTG-SP,Watt,1st Floor,Heating SP,100E Heating SP
8807,113,Office,WATT-CENTER/FC-1.UF1-14.EFFCLG-SP,Watt,1st Floor,Cooling SP,113 Cooling SP
8546,113,Office,WATT-CENTER/FC-1.UF1-14.EFFHTG-SP,Watt,1st Floor,Heating SP,113 Heating SP
8589,113,Office,WATT-CENTER/FC-1.UF1-14.ZN-SP,Watt,1st Floor,Temp,113 Temp
8552,112,Project Room,WATT-CENTER/FC-1.UF1-15.EFFCLG-SP,Watt,1st Floor,Cooling SP,112 Cooling SP
8325,L101,Mechanical Room,WATT-CENTER/FC-1.FCU-10.ZN1-T,Watt,Basement,Temp,L101 Temp
8211,212,Comm Studio,WATT-CENTER/FC-2.012019FE.ZN-T,Watt,2nd Floor,Temp,212 Temp
8580,110,Project Room,WATT-CENTER/FC-1.UF1-17.EFFCLG-SP,Watt,1st Floor,Cooling SP,110 Cooling SP
8616,110,Project Room,WATT-CENTER/FC-1.UF1-17.EFFHTG-SP,Watt,1st Floor,Heating SP,110 Heating SP
8564,L103,Dataroom,WATT-CENTER/FC-1.UF1-2-1.EFFCLG-SP,Watt,Basement,Cooling SP,L103 Cooling SP
8673,L103,Dataroom,WATT-CENTER/FC-1.UF1-2-1.EFFHTG-SP,Watt,Basement,Heating SP,L103 Heating SP
