PointSliceID,Room,RoomType,ObjectName,BLG,Floor,ReadingType,Alias,Com,DeCom
46399,301,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-301.ZN-T,HOLMES,3rd Floor,Temp,301 Temp,,
46418,302,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-302.ZN-T,HOLMES,3rd Floor,Temp,302 Temp,,
46473,303,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-303.ZN-T,HOLMES,3rd Floor,Temp,303 Temp,,
46382,304,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-304.ZN-T,HOLMES,3rd Floor,Temp,304 Temp,,
46437,305,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-305.ZN-T,HOLMES,3rd Floor,Temp,305 Temp,,
46347,306,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-306.ZN-T,HOLMES,3rd Floor,Temp,306 Temp,,
46402,307,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-307.ZN-T,HOLMES,3rd Floor,Temp,307 Temp,,
46352,308,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-308.ZN-T,HOLMES,3rd Floor,Temp,308 Temp,,
46406,309,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-309.ZN-T,HOLMES,3rd Floor,Temp,309 Temp,,
46463,310,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-310.ZN-T,HOLMES,3rd Floor,Temp,310 Temp,,
46369,311,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-311.ZN-T,HOLMES,3rd Floor,Temp,311 Temp,,
46385,312,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-312.ZN-T,HOLMES,3rd Floor,Temp,312 Temp,,
46479,313,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-313.ZN-T,HOLMES,3rd Floor,Temp,313 Temp,,
46350,314,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-314.ZN-T,HOLMES,3rd Floor,Temp,314 Temp,,
46440,315,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-315.ZN-T,HOLMES,3rd Floor,Temp,315 Temp,,
46458,316,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-316.ZN-T,HOLMES,3rd Floor,Temp,316 Temp,,
46367,317,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-317.ZN-T,HOLMES,3rd Floor,Temp,317 Temp,,
46420,318,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-318.ZN-T,HOLMES,3rd Floor,Temp,318 Temp,,
46478,319,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-319.ZN-T,HOLMES,3rd Floor,Temp,319 Temp,,
46378,320,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-320.ZN-T,HOLMES,3rd Floor,Temp,320 Temp,,
46430,321,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-321.ZN-T,HOLMES,3rd Floor,Temp,321 Temp,,
46451,322,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-322.ZN-T,HOLMES,3rd Floor,Temp,322 Temp,,
46417,323,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-323.ZN-T,HOLMES,3rd Floor,Temp,323 Temp,,
46476,324,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-324.ZN-T,HOLMES,3rd Floor,Temp,324 Temp,,
46383,325,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-325.ZN-T,HOLMES,3rd Floor,Temp,325 Temp,,
46434,326,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-326.ZN-T,HOLMES,3rd Floor,Temp,326 Temp,,
46373,327,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-327.ZN-T,HOLMES,3rd Floor,Temp,327 Temp,,
46392,328,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-328.ZN-T,HOLMES,3rd Floor,Temp,328 Temp,,
46448,329,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-329.ZN-T,HOLMES,3rd Floor,Temp,329 Temp,,
46355,330,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-330.ZN-T,HOLMES,3rd Floor,Temp,330 Temp,,
46408,331,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-331.ZN-T,HOLMES,3rd Floor,Temp,331 Temp,,
46465,501,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-501.ZN-T,HOLMES,5th Floor,Temp,501 Temp,,
46368,502,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-502.ZN-T,HOLMES,5th Floor,Temp,502 Temp,,
46388,503,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-503.ZN-T,HOLMES,5th Floor,Temp,503 Temp,,
46486,504,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-504.ZN-T,HOLMES,5th Floor,Temp,504 Temp,,
46357,505,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-505.ZN-T,HOLMES,5th Floor,Temp,505 Temp,,
46449,506,Sleep/Study,HH-NAE-1/Field Bus 2.FCU-506.ZN-T,HOLMES,5th Floor,Temp,506 Temp,,
