PointSliceID,Room,RoomType,ObjectName,BLG,Floor,ReadingType,Alias
8422,0,Building,WATT-CENTER/FC-1.AHU-1.RA-Q,Watt,Basement,CO2,Air Handler 1 Return Air CO2
8435,0,Building,WATT-CENTER/FC-1.AHU-2.RA-Q,Watt,Basement,CO2,Air Handler 2 Return Air CO2
8642,106,Classroom,WATT-CENTER/FC-1.UF1-11.ZN-Q,Watt,1st Floor,CO2,RM 106 / CO2
8699,112,Project Room,WATT-CENTER/FC-1.UF1-15.ZN-Q,Watt,2nd Floor,CO2,RM 112 / CO2
8306,110,Project Room,WATT-CENTER/FC-1.UF1-17.ZN-Q,Watt,3rd Floor,CO2,RM 110 / CO2
8750,L103,Dataroom,WATT-CENTER/FC-1.UF1-2-1.ZN-Q,Watt,Basement,CO2,RM L103 / CO2
8765,218,Classroom,WATT-CENTER/FC-2.012015FE.ZN-Q,Watt,2nd Floor,CO2,RM 218 / CO2
18859,208,Classroom,WATT-CENTER/FC-2.012017FE.ZN-Q,Watt,2nd Floor,CO2,RM 208 / CO2
8831,216,Office,WATT-CENTER/FC-2.012021FE.ZN-Q,Watt,2nd Floor,CO2,RM 216 / CO2
9191,344B,Breakroom,WATT-CENTER/FC-2.012030FE.ZN-Q,Watt,3rd Floor,CO2,RM 344B / CO2
8907,333,Office,WATT-CENTER/FC-2.012039FE.ZN-Q,Watt,3rd Floor,CO2,RM 333 / CO2
8928,323,Classroom,WATT-CENTER/FC-2.012042FE.ZN-Q,Watt,3rd Floor,CO2,RM 323 / CO2
8966,313,Classroom,WATT-CENTER/FC-2.012045FE.ZN-Q,Watt,3rd Floor,CO2,RM 313 / CO2
9104,310,Classroom,WATT-CENTER/FC-2.012049FE.ZN-Q,Watt,3rd Floor,CO2,RM 310 / CO2
8837,211,Project Room,WATT-CENTER/FC-2.UF2-2.ZN-Q,Watt,2nd Floor,CO2,RM 211 / CO2
8843,209,Project Room,WATT-CENTER/FC-2.UF2-3.ZN-Q,Watt,2nd Floor,CO2,RM 209 / CO2
8849,207,Project Room,WATT-CENTER/FC-2.UF2-4.ZN-Q,Watt,2nd Floor,CO2,RM 207 / CO2
8855,205,Project Room,WATT-CENTER/FC-2.UF2-5.ZN-Q,Watt,2nd Floor,CO2,RM 205 / CO2
8861,203,Classroom,WATT-CENTER/FC-2.UF2-6.ZN-Q,Watt,2nd Floor,CO2,RM 203 / CO2
41484,408,Office,WATT-CENTER/FC-2.UF-4-1-10.ZN-CO2,Watt,4th Floor,CO2,RM 408 / CO2
41451,416,Project Room,WATT-CENTER/FC-2.UF-4-1-11.ZN-CO2,Watt,4th Floor,CO2,RM 416 / CO2
41439,410,Project Room,WATT-CENTER/FC-2.UF-4-1-13.ZN-CO2,Watt,4th Floor,CO2,RM 410 / CO2
41477,433,Conference Room,WATT-CENTER/FC-2.UF-4-1-6.ZN-CO2,Watt,4th Floor,CO2,RM 433 / CO2
41464,423,Project Room,WATT-CENTER/FC-2.UF-4-1-8.ZN-CO2,Watt,4th Floor,CO2,RM 423 / CO2
41420,413,Corridor,WATT-CENTER/FC-2.UF-4-1-9.ZN-CO2,Watt,4th Floor,CO2,RM 413 / CO2
